input,tempo,sd,seq_frac,par_frac
input_280.txt,8.080360,0.063911,0.013265,0.986735
input_300.txt,11.057065,0.081358,0.012644,0.987356
input_320.txt,14.523840,0.183048,0.011985,0.988015
input_340.txt,19.218250,0.110647,0.011438,0.988562
