input,threads,seq_mean_s,seq_sd_s,omp_total_mean_s,omp_total_sd_s,omp_par_mean_s,omp_par_sd_s,fseq_mean,speedup,efficiency
input_120.txt,1,48.088000,0.451787,1.961012,0.056702,1.518887,0.046403,0.214752,24.522033,24.522033
input_120.txt,2,48.088000,0.451787,1.870816,0.074855,1.417052,0.056072,0.230984,25.704292,12.852146
input_120.txt,4,48.088000,0.451787,1.760649,0.132863,1.286107,0.098114,0.256723,27.312656,6.828164
input_120.txt,8,48.088000,0.451787,2.170404,0.045127,1.643072,0.042861,0.231465,22.156244,2.769531
input_120.txt,16,48.088000,0.451787,1.660480,0.072790,1.180419,0.048152,0.275218,28.960301,1.810019
input_125.txt,1,58.073500,0.256623,2.231769,0.072837,1.732203,0.056927,0.213189,26.021286,26.021286
input_125.txt,2,58.073500,0.256623,2.119073,0.052206,1.605975,0.042266,0.230627,27.405144,13.702572
input_125.txt,4,58.073500,0.256623,2.046203,0.161714,1.500537,0.124624,0.254164,28.381104,7.095276
input_125.txt,8,58.073500,0.256623,2.433162,0.027586,1.837828,0.023376,0.233032,23.867502,2.983438
input_125.txt,16,58.073500,0.256623,1.868787,0.086276,1.335560,0.057732,0.271641,31.075505,1.942219
input_130.txt,1,66.842000,0.396559,2.531482,0.077123,1.962328,0.063299,0.214159,26.404296,26.404296
input_130.txt,2,66.842000,0.396559,2.395220,0.042571,1.812518,0.034043,0.231700,27.906414,13.953207
input_130.txt,4,66.842000,0.396559,2.273340,0.168540,1.663658,0.126454,0.255498,29.402553,7.350638
input_130.txt,8,66.842000,0.396559,2.783697,0.110861,2.103043,0.085348,0.232880,24.011952,3.001494
input_130.txt,16,66.842000,0.396559,2.103596,0.058830,1.494554,0.038429,0.275654,31.775113,1.985945
input_140.txt,1,95.206500,0.355887,3.195973,0.073927,2.491818,0.059123,0.209843,29.789519,29.789519
input_140.txt,2,95.206500,0.355887,3.035455,0.061260,2.302275,0.051670,0.230064,31.364820,15.682410
input_140.txt,4,95.206500,0.355887,2.853821,0.176925,2.092579,0.132671,0.254085,33.361062,8.340265
input_140.txt,8,95.206500,0.355887,3.514479,0.042677,2.663172,0.039872,0.230711,27.089791,3.386224
input_140.txt,16,95.206500,0.355887,2.676238,0.064718,1.918151,0.041688,0.269698,35.574751,2.223422
input_150.txt,1,129.513500,0.567073,4.033912,0.086563,3.147926,0.069962,0.209186,32.106179,32.106179
input_150.txt,2,129.513500,0.567073,3.808256,0.077187,2.900465,0.054410,0.227002,34.008612,17.004306
input_150.txt,4,129.513500,0.567073,3.717529,0.290501,2.747840,0.215856,0.248436,34.838598,8.709649
