input,threads,T_seq,T_seq_sd,T_omp,T_omp_sd,S_justo,Eficiência
input_200.txt,1,10.532985,0.084767,10.451510,0.152890,1.007796,1.007796
input_200.txt,2,10.532985,0.084767,9.983740,0.143301,1.055014,0.527507
input_200.txt,4,10.532985,0.084767,9.312743,0.339632,1.131029,0.282757
input_200.txt,8,10.532985,0.084767,10.965960,0.075462,0.960516,0.120065
input_200.txt,16,10.532985,0.084767,8.750600,0.119292,1.203687,0.075230
input_200.txt,32,10.532985,0.084767,8.571848,0.109976,1.228788,0.038400
input_210.txt,1,12.440890,0.117066,12.301280,0.148658,1.011349,1.011349
